マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金,予測価格,test-predict,ratio[%]
コトー駿河台,東京都,千代田区,神田駿河台１,1,0,0,0,0,48,9,6,15,75000,0,ＪＲ中央線,御茶ノ水駅,6,75000,0,0,0,73000,2000,2.7
シティタワー・ルフォン九段の杜,東京都,千代田区,九段北４,2,1,0,1,0,5,19,9,70,390000,1170000,東京メトロ有楽町線,市ケ谷駅,5,390000,0,780000,390000,405000,-15000,3.8
都営新宿線馬喰横山駅10階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,10,2,23,92000,85000,都営新宿線,馬喰横山駅,3,85000,7000,85000,0,92000,0,0.0
都営新宿線岩本町駅14階建築20年,東京都,千代田区,岩本町２,1,0,0,0,0,20,14,12,22,95000,0,都営新宿線,岩本町駅,7,87000,8000,0,0,90000,5000,5.3
ＪＲ山手線秋葉原駅5階建築52年,東京都,千代田区,外神田３,2,1,0,0,0,52,5,3,37,130000,520000,ＪＲ山手線,秋葉原駅,5,130000,0,260000,260000,200000,-70000,53.8
ザ・パークハウスグラン三番町,東京都,千代田区,三番町,2,1,0,1,0,9,15,3,60,380000,760000,東京メトロ半蔵門線,半蔵門駅,7,380000,0,380000,380000,380000,0,0.0
ＪＲ山手線神田駅9階建築5年,東京都,千代田区,神田富山町,1,0,0,0,0,5,9,2,24,131000,123000,ＪＲ山手線,神田駅,4,123000,8000,123000,0,131000,0,0.0
パレステュディオ神田神保町,東京都,千代田区,神田神保町２,1,0,0,0,0,19,14,3,22,94500,172000,東京メトロ半蔵門線,神保町駅,1,86000,8500,86000,86000,94500,0,0.0
カッシア神田レジデンス,東京都,千代田区,神田東紺屋町,1,1,0,1,0,16,10,10,51,239000,458000,ＪＲ山手線,神田駅,2,229000,10000,229000,229000,239000,0,0.0
ライオンズマンション九段第２,東京都,千代田区,九段南３,1,0,0,0,0,42,8,7,20,77000,75000,ＪＲ中央線,飯田橋駅,17,75000,2000,75000,0,77400,-400,0.5
ＪＲ中央線御茶ノ水駅12階建築6年,東京都,千代田区,神田神保町１,1,0,0,0,0,6,12,9,25,135000,250000,ＪＲ中央線,御茶ノ水駅,10,125000,10000,125000,125000,135000,0,0.0
岩本町酒井マンション,東京都,千代田区,岩本町２,1,0,0,0,0,45,5,5,15,73000,136000,都営新宿線,岩本町駅,3,68000,5000,68000,68000,73000,0,0.0
東京メトロ東西線九段下駅8階建築25年,東京都,千代田区,九段北１,1,1,0,0,0,25,8,4,32,129000,119000,東京メトロ東西線,九段下駅,3,119000,10000,119000,0,129000,0,0.0
ＪＲ総武線秋葉原駅地下2地上21階建築4年,東京都,千代田区,神田練塀町,1,1,0,1,0,4,21,19,46,299000,598000,ＪＲ総武線,秋葉原駅,3,299000,0,598000,0,260000,39000,13.0
シティカレント大手町,東京都,千代田区,神田錦町１,1,0,0,0,0,18,14,9,24,108000,98000,東京メトロ東西線,大手町駅,5,98000,10000,98000,0,108000,0,0.0
東京メトロ半蔵門線半蔵門駅14階建築18年,東京都,千代田区,麹町３,1,1,0,1,0,18,14,7,62,304000,568000,東京メトロ半蔵門線,半蔵門駅,3,284000,20000,284000,284000,300000,4000,1.3
東京メトロ銀座線末広町駅10階建築9年,東京都,千代田区,外神田６,1,0,0,0,0,9,10,3,24,118000,0,東京メトロ銀座線,末広町駅,3,103000,15000,0,0,131000,-13000,11.0
プライムメゾン神保町,東京都,千代田区,神田神保町１,1,0,0,0,0,10,14,13,25,135000,250000,東京メトロ半蔵門線,神保町駅,5,125000,10000,125000,125000,135000,0,0.0
パレステュディオ三番町,東京都,千代田区,三番町,1,0,0,0,1,21,9,6,30,123000,114500,東京メトロ半蔵門線,半蔵門駅,6,114500,8500,0,114500,125000,-2000,1.6
シルキーハイツ九段南,東京都,千代田区,九段南４,1,0,0,0,0,41,7,4,33,110000,200000,都営新宿線,市ケ谷駅,3,100000,10000,100000,100000,120000,-10000,9.1
明君モナーク九段,東京都,千代田区,九段北４,1,0,0,0,0,42,9,4,18,75000,150000,都営新宿線,市ケ谷駅,3,75000,0,75000,75000,82000,-7000,9.3
パークハウス平河町,東京都,千代田区,平河町１,2,1,0,1,0,16,14,11,64,330000,660000,東京メトロ有楽町線,麹町駅,4,330000,0,330000,330000,330000,0,0.0
グランドメゾン一番町,東京都,千代田区,一番町,1,1,0,1,0,1,9,6,44,198000,340000,東京メトロ半蔵門線,半蔵門駅,1,170000,28000,170000,170000,170000,28000,14.1
東京メトロ有楽町線麹町駅13階建築14年,東京都,千代田区,二番町,2,1,0,1,1,14,13,11,123,740000,1480000,東京メトロ有楽町線,麹町駅,1,740000,0,1480000,0,740000,0,0.0
東京メトロ丸ノ内線大手町駅12階建築16年,東京都,千代田区,内神田１,1,0,0,0,0,16,12,4,22,99000,84000,東京メトロ丸ノ内線,大手町駅,7,84000,15000,0,84000,96000,3000,3.0
プレシス東神田,東京都,千代田区,東神田１,1,1,0,1,0,11,13,4,39,171000,330000,ＪＲ総武線快速,馬喰町駅,5,165000,6000,165000,165000,171000,0,0.0
東京メトロ半蔵門線半蔵門駅8階建築24年,東京都,千代田区,平河町１,1,1,0,1,0,24,8,4,73,280000,560000,東京メトロ半蔵門線,半蔵門駅,3,280000,0,280000,280000,302000,-22000,7.9
バンブー岩本町,東京都,千代田区,岩本町２,1,1,0,0,0,17,13,6,39,140000,260000,都営新宿線,岩本町駅,5,130000,10000,130000,130000,160000,-20000,14.3
リヴシティ一番町,東京都,千代田区,一番町,1,0,0,0,0,10,12,4,25,119000,0,東京メトロ半蔵門線,半蔵門駅,2,109000,10000,0,0,108000,11000,9.2
東京メトロ南北線市ケ谷駅10階建築20年,東京都,千代田区,九段南２,1,0,0,0,0,20,10,5,23,100000,170000,東京メトロ南北線,市ケ谷駅,7,85000,15000,85000,85000,85000,15000,15.0
東京メトロ東西線九段下駅11階建新築,東京都,千代田区,飯田橋２,1,0,0,0,0,0,11,2,25,129000,228000,東京メトロ東西線,九段下駅,4,114000,15000,114000,114000,129000,0,0.0
プライムアーバン千代田富士見,東京都,千代田区,富士見２,1,0,0,0,0,20,10,9,22,114000,108000,東京メトロ東西線,飯田橋駅,4,108000,6000,108000,0,105000,9000,7.9
ＪＲ山手線秋葉原駅12階建築19年,東京都,千代田区,岩本町３,1,0,0,0,0,19,12,4,24,106000,0,ＪＲ山手線,秋葉原駅,8,96000,10000,0,0,106000,0,0.0
高梨ビル,東京都,千代田区,神田司町２,1,0,0,0,0,44,5,2,23,79000,74000,東京メトロ丸ノ内線,淡路町駅,3,74000,5000,74000,0,79000,0,0.0
カスタリア神保町,東京都,千代田区,神田神保町２,1,0,0,0,0,19,11,2,26,123000,115000,東京メトロ半蔵門線,神保町駅,3,115000,8000,115000,0,120500,2500,2.0
ＪＲ中央線御茶ノ水駅13階建築7年,東京都,千代田区,神田猿楽町１,1,1,0,0,0,7,13,3,24,128000,236000,ＪＲ中央線,御茶ノ水駅,8,118000,10000,118000,118000,128000,0,0.0
東京メトロ半蔵門線半蔵門駅地下2地上14階建築22年,東京都,千代田区,一番町,3,1,0,1,0,22,14,10,120,670000,2010000,東京メトロ半蔵門線,半蔵門駅,3,670000,0,1340000,670000,670000,0,0.0
TK猿楽町レジデンス,東京都,千代田区,神田猿楽町２,2,1,0,1,0,7,9,4,56,256000,492000,東京メトロ半蔵門線,神保町駅,5,246000,10000,246000,246000,256000,0,0.0
東京メトロ半蔵門線半蔵門駅9階建築1年,東京都,千代田区,一番町,1,1,0,1,0,1,9,6,44,198000,340000,東京メトロ半蔵門線,半蔵門駅,1,170000,28000,170000,170000,170000,28000,14.1
Ｑｕ４ｔｔｒｏ　Ａｒｃａ　九段,東京都,千代田区,九段北１,1,1,0,1,1,4,12,10,50,235000,225000,東京メトロ半蔵門線,九段下駅,3,225000,10000,225000,0,275000,-40000,17.0
Y’stower,東京都,千代田区,神田佐久間町２,2,0,0,0,0,18,11,2,44,160880,150000,ＪＲ山手線,秋葉原駅,2,150000,10880,150000,0,144000,16880,10.5
一ツ橋フォレスター,東京都,千代田区,一ツ橋２,1,0,0,0,0,22,12,6,30,119000,228000,都営三田線,神保町駅,2,114000,5000,114000,114000,119000,0,0.0
ＪＲ中央線四ツ谷駅7階建築16年,東京都,千代田区,六番町,1,1,0,1,1,16,7,2,76,350000,1050000,ＪＲ中央線,四ツ谷駅,6,350000,0,350000,700000,350000,0,0.0
ＪＲ山手線秋葉原駅15階建築18年,東京都,千代田区,岩本町３,1,0,0,0,0,18,15,11,26,104000,288000,ＪＲ山手線,秋葉原駅,6,96000,8000,96000,192000,104000,0,0.0
ＪＲ総武線市ケ谷駅10階建築20年,東京都,千代田区,三番町,1,0,0,0,0,20,10,5,23,131500,121000,ＪＲ総武線,市ケ谷駅,7,121000,10500,0,121000,95000,36500,27.8
東京メトロ千代田線新御茶ノ水駅13階建築41年,東京都,千代田区,神田小川町３,1,0,0,0,0,41,13,6,19,73000,146000,東京メトロ千代田線,新御茶ノ水駅,8,73000,0,73000,73000,82000,-9000,12.3
ダイナシティ神保町,東京都,千代田区,神田神保町２,1,1,0,1,0,16,14,3,32,139000,408000,都営三田線,神保町駅,3,136000,3000,272000,136000,139000,0,0.0
メゾン・ド・ヴィレ神田神保町,東京都,千代田区,神田神保町２,1,0,0,0,0,23,9,5,27,102000,0,東京メトロ半蔵門線,神保町駅,1,88000,14000,0,0,102000,0,0.0
九段リハイム,東京都,千代田区,九段北１,1,0,0,0,0,38,11,6,20,92500,82000,東京メトロ半蔵門線,九段下駅,3,82000,10500,0,82000,92500,0,0.0
東京メトロ千代田線大手町駅13階建築9年,東京都,千代田区,内神田１,1,1,0,1,1,9,13,2,46,225000,430000,東京メトロ千代田線,大手町駅,6,215000,10000,215000,215000,225000,0,0.0
ＪＲ総武線市ケ谷駅13階建築5年,東京都,千代田区,九段南２,1,1,0,1,0,5,13,2,40,178000,332000,ＪＲ総武線,市ケ谷駅,8,166000,12000,166000,166000,178000,0,0.0
プルミエール一番町,東京都,千代田区,一番町,2,1,0,1,0,26,9,7,89,375000,1125000,東京メトロ半蔵門線,半蔵門駅,2,375000,0,750000,375000,325000,50000,13.3
パークアクシス秋葉原,東京都,千代田区,神田佐久間町３,1,0,0,0,0,17,9,2,24,115000,214000,都営新宿線,岩本町駅,8,107000,8000,107000,107000,115000,0,0.0
ＪＲ総武線浅草橋駅10階建築16年,東京都,千代田区,東神田３,1,0,0,0,0,16,10,4,24,90000,164000,ＪＲ総武線,浅草橋駅,4,82000,8000,82000,82000,90000,0,0.0
東京メトロ有楽町線麹町駅15階建築9年,東京都,千代田区,平河町１,1,0,0,0,0,9,15,4,25,144000,268000,東京メトロ有楽町線,麹町駅,2,134000,10000,134000,134000,139000,5000,3.5
東京メトロ丸ノ内線淡路町駅14階建築8年,東京都,千代田区,内神田１,1,0,0,0,0,8,14,7,25,129000,258000,東京メトロ丸ノ内線,淡路町駅,4,129000,0,129000,129000,139000,-10000,7.8
ＪＲ総武線浅草橋駅14階建築18年,東京都,千代田区,東神田１,1,0,0,0,0,18,14,6,34,108000,103000,ＪＲ総武線,浅草橋駅,3,103000,5000,0,103000,136000,-28000,25.9
千代田レジデンス,東京都,千代田区,岩本町３,1,0,0,0,0,19,5,3,21,88000,80000,都営新宿線,岩本町駅,5,80000,8000,80000,0,90000,-2000,2.3
ＪＲ山手線秋葉原駅12階建築18年,東京都,千代田区,東神田２,1,0,0,0,0,18,12,6,22,94000,87000,ＪＲ山手線,秋葉原駅,8,87000,7000,0,87000,96000,-2000,2.1
LEO九段BUILDING,東京都,千代田区,九段北１,1,0,0,0,0,18,13,10,37,160000,150000,東京メトロ東西線,九段下駅,1,150000,10000,150000,0,175000,-15000,9.4
パレステュディオ神田EAST,東京都,千代田区,東神田１,1,0,0,0,0,20,8,4,22,95000,0,ＪＲ山手線,神田駅,10,80000,15000,0,0,95000,0,0.0
グランツルクサス神田,東京都,千代田区,神田須田町１,1,1,0,0,0,4,9,7,25,136000,0,東京メトロ銀座線,神田駅,1,124000,12000,0,0,137000,-1000,0.7
フォレシティ神田多町,東京都,千代田区,神田多町２,1,0,0,0,0,16,12,9,33,142000,132000,ＪＲ中央線,御茶ノ水駅,9,132000,10000,0,132000,142000,0,0.0
アイフェリーク神田,東京都,千代田区,神田東紺屋町,1,0,0,0,0,18,13,11,22,89000,0,ＪＲ山手線,秋葉原駅,7,79000,10000,0,0,93000,-4000,4.5
シュロス神田五軒町ツインフォルム,東京都,千代田区,外神田６,1,0,0,0,0,24,11,5,25,103000,206000,東京メトロ銀座線,末広町駅,3,103000,0,103000,103000,110000,-7000,6.8
THEAXISKOJIMACHI(ジアクシス麹町),東京都,千代田区,平河町２,1,1,0,1,0,4,10,10,51,248000,472000,東京メトロ有楽町線,麹町駅,3,236000,12000,236000,236000,239000,9000,3.6
ＪＲ山手線秋葉原駅12階建築16年,東京都,千代田区,東神田２,1,0,0,0,0,16,12,8,30,133000,120000,ＪＲ山手線,秋葉原駅,7,120000,13000,0,120000,133000,0,0.0
ＪＲ山手線秋葉原駅12階建築22年,東京都,千代田区,神田佐久間町４,1,0,0,0,0,22,12,4,20,99500,89000,ＪＲ山手線,秋葉原駅,6,89000,10500,0,89000,99500,0,0.0
ＪＲ中央線市ケ谷駅12階建築10年,東京都,千代田区,一番町,1,0,0,0,0,10,12,4,25,119000,0,ＪＲ中央線,市ケ谷駅,9,109000,10000,0,0,108000,11000,9.2
東京メトロ有楽町線麹町駅15階建築17年,東京都,千代田区,二番町,1,0,0,0,0,17,15,13,36,175000,165000,東京メトロ有楽町線,麹町駅,1,165000,10000,165000,0,175000,0,0.0
ＪＲ中央線水道橋駅14階建築1年,東京都,千代田区,神田猿楽町２,1,1,0,0,0,1,14,6,25,145000,130000,ＪＲ中央線,水道橋駅,6,130000,15000,130000,0,145000,0,0.0
こもれび神田神保町,東京都,千代田区,神田神保町２,1,0,0,0,0,15,10,4,33,152300,411000,東京メトロ半蔵門線,神保町駅,3,137000,15300,411000,0,152300,0,0.0
誠心IIビル,東京都,千代田区,東神田１,1,0,0,0,0,33,7,2,19,75000,144000,ＪＲ総武線快速,馬喰町駅,3,72000,3000,72000,72000,75000,0,0.0
東京メトロ半蔵門線半蔵門駅5階建築22年,東京都,千代田区,平河町２,1,1,0,1,0,22,5,2,39,180000,172000,東京メトロ半蔵門線,半蔵門駅,5,172000,8000,172000,0,180000,0,0.0
東京メトロ半蔵門線半蔵門駅10階建築20年,東京都,千代田区,麹町２,1,1,0,0,0,20,10,7,34,149000,278000,東京メトロ半蔵門線,半蔵門駅,2,139000,10000,139000,139000,161000,-12000,8.1
ＪＲ山手線神田駅4階建築51年,東京都,千代田区,岩本町２,1,0,0,0,0,51,4,3,7,55000,0,ＪＲ山手線,神田駅,8,51700,3300,0,0,68000,-13000,23.6
東京メトロ半蔵門線半蔵門駅6階建築19年,東京都,千代田区,平河町２,1,0,0,0,0,19,6,1,42,132000,240000,東京メトロ半蔵門線,半蔵門駅,5,120000,12000,120000,120000,142000,-10000,7.6
ベルファース秋葉原,東京都,千代田区,神田練塀町,1,1,0,1,0,18,19,17,50,225000,450000,ＪＲ山手線,秋葉原駅,4,225000,0,450000,0,250000,-25000,11.1
ヴィラージュ・ド・クロシェビル,東京都,千代田区,神田練塀町,1,1,0,1,0,7,10,6,35,220000,792000,ＪＲ山手線,秋葉原駅,4,198000,22000,594000,198000,160000,60000,27.3
ガラ・ステーション岩本町Ｎｏｒｔｈ,東京都,千代田区,岩本町３,1,0,0,0,0,18,12,2,22,94000,170000,ＪＲ山手線,秋葉原駅,5,85000,9000,85000,85000,88000,6000,6.4
メイゾン麹町,東京都,千代田区,麹町３,1,0,0,0,0,41,10,5,32,150000,300000,東京メトロ有楽町線,麹町駅,1,150000,0,150000,150000,160000,-10000,6.7
東京メトロ有楽町線麹町駅8階建築46年,東京都,千代田区,平河町１,1,1,0,0,0,46,8,4,24,100000,194000,東京メトロ有楽町線,麹町駅,3,97000,3000,97000,97000,128000,-28000,28.0
(仮称)山口ビル2021,東京都,千代田区,外神田３,1,1,0,1,0,0,8,4,42,176000,342000,東京メトロ銀座線,末広町駅,3,171000,5000,171000,171000,182000,-6000,3.4
三番町東急アパートメント,東京都,千代田区,三番町,3,1,0,1,0,23,11,10,208,1000000,2000000,東京メトロ半蔵門線,半蔵門駅,7,1000000,0,1000000,1000000,670000,330000,33.0
スペランツァ日本橋,東京都,千代田区,鍛冶町１,1,0,0,0,0,3,12,3,21,116000,0,ＪＲ山手線,神田駅,5,105000,11000,0,0,116000,0,0.0
ＪＲ山手線秋葉原駅13階建築17年,東京都,千代田区,東神田１,1,1,0,1,0,17,13,7,41,170000,320000,ＪＲ山手線,秋葉原駅,6,160000,10000,160000,160000,174000,-4000,2.4
ＪＲ山手線神田駅13階建築18年,東京都,千代田区,神田紺屋町,1,0,0,0,0,18,13,11,22,90000,160000,ＪＲ山手線,神田駅,5,80000,10000,80000,80000,93000,-3000,3.3
ガーラ神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,17,14,7,27,105000,288000,東京メトロ日比谷線,小伝馬町駅,7,96000,9000,96000,192000,105000,0,0.0
東京メトロ丸ノ内線大手町駅16階建新築,東京都,千代田区,内神田１,1,0,0,0,0,0,16,3,28,150000,280000,東京メトロ丸ノ内線,大手町駅,4,140000,10000,140000,140000,150000,0,0.0
都営三田線神保町駅9階建築19年,東京都,千代田区,神田神保町１,1,0,0,0,0,19,9,8,22,122500,112000,都営三田線,神保町駅,2,112000,10500,0,112000,122500,0,0.0
メインステージ秋葉原駅前,東京都,千代田区,外神田１,1,0,0,0,0,20,12,4,22,96000,88000,ＪＲ山手線,秋葉原駅,4,88000,8000,0,88000,100000,-4000,4.2
ルネサンスコート秋葉原,東京都,千代田区,東神田１,1,1,0,1,1,2,13,4,47,231000,0,東京メトロ日比谷線,小伝馬町駅,5,221000,10000,0,0,185000,46000,19.9
ＪＲ山手線秋葉原駅13階建築2年,東京都,千代田区,東神田１,1,1,0,1,1,2,13,4,47,231000,0,ＪＲ山手線,秋葉原駅,9,221000,10000,0,0,185000,46000,19.9
都営新宿線市ケ谷駅7階建築41年,東京都,千代田区,九段南４,1,0,0,0,0,41,7,4,33,110000,200000,都営新宿線,市ケ谷駅,2,100000,10000,100000,100000,120000,-10000,9.1
東京メトロ半蔵門線半蔵門駅5階建築28年,東京都,千代田区,三番町,2,1,0,1,0,28,5,4,51,200000,380000,東京メトロ半蔵門線,半蔵門駅,5,190000,10000,190000,190000,200000,0,0.0
ライオンズマンション麹町桔梗,東京都,千代田区,麹町２,2,1,0,1,0,43,8,3,51,200000,400000,東京メトロ有楽町線,麹町駅,3,200000,0,200000,200000,200000,0,0.0
ＪＲ山手線秋葉原駅4階建築24年,東京都,千代田区,神田和泉町,3,1,0,1,1,24,4,3,93,400000,1200000,ＪＲ山手線,秋葉原駅,4,400000,0,800000,400000,400000,0,0.0
ビラビスタ猿楽町,東京都,千代田区,神田猿楽町１,1,0,0,0,0,7,8,2,21,108000,100000,都営三田線,神保町駅,3,100000,8000,100000,0,107000,1000,0.9
プレシス半蔵門,東京都,千代田区,麹町１,1,1,0,1,0,11,13,11,51,263000,753000,東京メトロ半蔵門線,半蔵門駅,1,251000,12000,502000,251000,254000,9000,3.4
東京メトロ半蔵門線神保町駅5階建築4年,東京都,千代田区,神田神保町１,1,1,0,1,0,4,5,3,33,171000,342000,東京メトロ半蔵門線,神保町駅,2,171000,0,171000,171000,171000,0,0.0
アピス一番町,東京都,千代田区,一番町,1,1,0,1,0,13,10,5,46,225000,430000,東京メトロ半蔵門線,半蔵門駅,3,215000,10000,215000,215000,230000,-5000,2.2
ＪＲ山手線秋葉原駅13階建築22年,東京都,千代田区,神田和泉町,1,0,0,0,0,22,13,9,22,100500,0,ＪＲ山手線,秋葉原駅,3,85500,15000,0,0,100500,0,0.0
東京メトロ半蔵門線半蔵門駅地下1地上19階建築15年,東京都,千代田区,一番町,2,1,0,1,0,15,19,9,68,350000,670000,東京メトロ半蔵門線,半蔵門駅,2,335000,15000,335000,335000,380000,-30000,8.6
ザ・サンメゾン二番町エルド,東京都,千代田区,二番町,3,1,0,1,0,8,11,2,85,465000,930000,東京メトロ有楽町線,麹町駅,3,465000,0,465000,465000,380000,85000,18.3
アイフェリーク神田,東京都,千代田区,神田紺屋町,1,0,0,0,0,18,13,11,22,90000,160000,都営新宿線,岩本町駅,5,80000,10000,80000,80000,93000,-3000,3.3
東京メトロ丸ノ内線御茶ノ水駅9階建築48年,東京都,千代田区,神田駿河台１,1,0,0,0,0,48,9,6,15,75000,0,東京メトロ丸ノ内線,御茶ノ水駅,5,75000,0,0,0,73000,2000,2.7
麹町パーソナルハウス,東京都,千代田区,麹町２,1,1,0,1,0,42,5,4,42,170000,850000,東京メトロ半蔵門線,半蔵門駅,2,170000,0,680000,170000,187000,-17000,10.0
東京メトロ日比谷線小伝馬町駅12階建築9年,東京都,千代田区,岩本町１,1,1,0,1,0,9,12,5,40,174000,164000,東京メトロ日比谷線,小伝馬町駅,2,164000,10000,0,164000,174000,0,0.0
ＪＲ総武線市ケ谷駅13階建築52年,東京都,千代田区,五番町,3,1,0,1,0,52,13,1,98,350000,693000,ＪＲ総武線,市ケ谷駅,4,330000,20000,330000,363000,350000,0,0.0
ＪＲ山手線神田駅8階建築8年,東京都,千代田区,神田須田町１,1,1,0,1,0,8,8,5,42,179000,354900,ＪＲ山手線,神田駅,3,169000,10000,169000,185900,179000,0,0.0
東京メトロ半蔵門線半蔵門駅14階建新築,東京都,千代田区,麹町２,1,1,0,1,0,0,14,2,65,298500,572000,東京メトロ半蔵門線,半蔵門駅,1,286000,12500,286000,286000,306500,-8000,2.7
東京メトロ東西線九段下駅7階建築45年,東京都,千代田区,飯田橋１,1,1,0,0,0,45,7,7,43,180000,540000,東京メトロ東西線,九段下駅,3,180000,0,360000,180000,160000,20000,11.1
ポローニア秋葉原,東京都,千代田区,神田佐久間町３,1,1,0,1,0,14,4,2,41,136260,520000,ＪＲ山手線,秋葉原駅,4,130000,6260,390000,130000,150000,-13740,10.1
グレース東神田,東京都,千代田区,東神田２,1,0,0,0,0,21,10,5,28,101000,190000,ＪＲ山手線,秋葉原駅,7,95000,6000,95000,95000,102000,-1000,1.0
ＪＲ山手線神田駅12階建築19年,東京都,千代田区,神田司町２,1,0,0,0,0,19,12,5,23,102000,184000,ＪＲ山手線,神田駅,6,92000,10000,92000,92000,102000,0,0.0
東京メトロ半蔵門線半蔵門駅9階建築41年,東京都,千代田区,平河町１,1,0,0,0,0,41,9,8,19,82000,164000,東京メトロ半蔵門線,半蔵門駅,3,82000,0,82000,82000,82000,0,0.0
グランヴィスタ神田練塀町,東京都,千代田区,神田練塀町,1,1,0,1,0,4,23,19,46,299000,598000,ＪＲ山手線,秋葉原駅,1,299000,0,598000,0,260000,39000,13.0
スカイコートお茶の水,東京都,千代田区,神田猿楽町２,1,0,0,0,0,16,7,6,22,104000,208000,ＪＲ中央線,水道橋駅,6,104000,0,104000,104000,111000,-7000,6.7
PARKAXIS小伝馬町　【パークアクシス小伝馬町】,東京都,千代田区,岩本町１,1,1,0,1,0,19,14,8,40,186000,173000,ＪＲ山手線,神田駅,10,173000,13000,173000,0,183000,3000,1.6
ＪＲ総武線浅草橋駅12階建築18年,東京都,千代田区,東神田３,1,0,0,0,0,18,12,4,22,95000,180000,ＪＲ総武線,浅草橋駅,3,90000,5000,90000,90000,95000,0,0.0
和泉町中央ビル,東京都,千代田区,神田和泉町,1,0,0,0,0,33,6,6,26,110000,300000,ＪＲ山手線,秋葉原駅,4,100000,10000,200000,100000,120000,-10000,9.1
FLATS一番町,東京都,千代田区,一番町,1,0,0,0,0,19,9,3,35,138000,256000,東京メトロ半蔵門線,半蔵門駅,2,128000,10000,128000,128000,144000,-6000,4.3
桜ヒルズ九段北,東京都,千代田区,九段北４,1,0,0,0,0,9,9,5,25,122000,236000,ＪＲ中央線,市ケ谷駅,5,118000,4000,118000,118000,122000,0,0.0
ＪＲ山手線神田駅16階建新築,東京都,千代田区,内神田１,1,0,0,0,0,0,16,3,28,150000,280000,ＪＲ山手線,神田駅,8,140000,10000,140000,140000,150000,0,0.0
パレステュディオ御茶ノ水駿河台参番館,東京都,千代田区,神田錦町３,1,0,0,0,0,21,10,1,22,89000,85000,東京メトロ半蔵門線,神保町駅,6,85000,4000,0,85000,89000,0,0.0
東京メトロ半蔵門線半蔵門駅地下1地上7階建築20年,東京都,千代田区,麹町２,1,0,0,0,0,20,7,4,39,159000,159000,東京メトロ半蔵門線,半蔵門駅,2,159000,0,159000,0,120000,39000,24.5
ＧＯＬＤ　ＦＯＲＥＳＴ　半蔵門（ゴールドフォレストハンゾウモン）,東京都,千代田区,麹町２,1,1,0,1,0,0,14,2,65,298500,572000,東京メトロ半蔵門線,半蔵門駅,2,286000,12500,286000,286000,306500,-8000,2.7
シャンブリーズ御茶ノ水,東京都,千代田区,神田小川町３,1,0,0,0,0,19,9,2,23,106000,0,都営新宿線,小川町駅,2,99000,7000,0,0,106000,0,0.0
ＪＲ総武線飯田橋駅地下1地上5階建築17年,東京都,千代田区,富士見２,1,1,0,1,0,17,5,5,54,245000,345000,ＪＲ総武線,飯田橋駅,5,230000,15000,345000,0,245000,0,0.0
ダイアパレス水道橋,東京都,千代田区,神田三崎町３,1,1,0,0,0,25,12,3,30,130000,115000,ＪＲ中央線,水道橋駅,3,115000,15000,0,115000,129000,1000,0.8
PEAKS神田,東京都,千代田区,神田西福田町,1,1,0,1,0,6,14,9,40,183000,173000,ＪＲ山手線,神田駅,5,173000,10000,173000,0,183000,0,0.0
ＪＲ総武線浅草橋駅12階建築20年,東京都,千代田区,東神田１,1,0,0,0,0,20,12,4,18,82000,150000,ＪＲ総武線,浅草橋駅,5,75000,7000,75000,75000,82000,0,0.0
ＪＲ中央線御茶ノ水駅5階建築20年,東京都,千代田区,神田猿楽町２,1,0,0,0,0,20,5,2,24,94000,178000,ＪＲ中央線,御茶ノ水駅,7,89000,5000,89000,89000,94000,0,0.0
コンフォリア秋葉原EAST,東京都,千代田区,東神田２,1,0,0,0,0,7,12,6,25,124000,118000,ＪＲ山手線,秋葉原駅,8,118000,6000,118000,0,124000,0,0.0
東京メトロ有楽町線麹町駅地下4地上17階建築23年,東京都,千代田区,二番町,1,1,0,1,0,23,17,3,53,320000,640000,東京メトロ有楽町線,麹町駅,4,320000,0,320000,320000,298000,22000,6.9
ＪＲ山手線神田駅4階建築44年,東京都,千代田区,東神田１,1,0,0,0,0,44,4,1,5,58000,0,ＪＲ山手線,神田駅,10,47000,11000,0,0,68000,-10000,17.2
パレステュディオ三番町2,東京都,千代田区,三番町,1,0,0,0,0,20,10,5,23,131500,121000,ＪＲ総武線,市ケ谷駅,7,121000,10500,0,121000,95000,36500,27.8
ロイジェント東神田,東京都,千代田区,東神田１,1,0,0,0,0,5,13,5,27,129000,119000,ＪＲ山手線,秋葉原駅,9,119000,10000,119000,0,129000,0,0.0
ＪＲ山手線神田駅12階建築5年,東京都,千代田区,神田西福田町,1,0,0,0,0,5,12,4,28,145000,270000,ＪＲ山手線,神田駅,5,135000,10000,135000,135000,145000,0,0.0
都営三田線神保町駅4階建築19年,東京都,千代田区,神田神保町１,1,0,0,0,0,19,4,3,27,106000,202000,都営三田線,神保町駅,3,101000,5000,101000,101000,106000,0,0.0
東京メトロ東西線九段下駅8階建築45年,東京都,千代田区,神田神保町３,1,0,0,0,0,45,8,4,15,72000,0,東京メトロ東西線,九段下駅,3,72000,0,0,0,73000,-1000,1.4
